anonymized_response_id,case_id,tutor_mode,guard_mode,pipeline_mode,tutor_model_provider,chat_thinking_mode,final_response_source,repair_applied,blocked
resp_31ee170788,cp_bridge_017,current_system,predicted,tutor_only_no_diagnosis,deepseek_flash,disabled,candidate,false,false
resp_0e864abd89,cp_bridge_011,current_system,predicted,tutor_only_no_diagnosis,deepseek_flash,disabled,candidate,false,false
resp_4b7340d4b2,cp_bridge_004,single_llm_structured,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_e84fee2482,cp_bridge_004,bridge_contract,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_ad9dafc083,cp_bridge_002,bridge_contract,predicted,tutor_plus_guard_plus_repair,deepseek_flash,disabled,candidate,false,false
resp_75818df59d,cp_bridge_016,bridge_contract,predicted,tutor_plus_guard_plus_repair,deepseek_flash,disabled,candidate,false,false
resp_4113b5724a,cp_bridge_001,bridge_contract,predicted,tutor_plus_guard,deepseek_flash,disabled,candidate,false,false
resp_79b71d9fb9,cp_bridge_007,bridge_contract,predicted,tutor_plus_guard,deepseek_flash,disabled,candidate,false,false
resp_7577a01d99,cp_bridge_016,bridge_contract,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_3c0e795438,cp_bridge_001,bridge_contract,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_59015a94b2,cp_bridge_015,single_llm_structured,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_0a09cf226d,cp_bridge_020,bridge_contract,predicted,tutor_plus_guard_plus_repair,deepseek_flash,disabled,candidate,false,false
resp_b4bf634b95,cp_bridge_006,bridge_contract,predicted,tutor_plus_guard,deepseek_flash,disabled,candidate,false,false
resp_223b44d0cc,cp_bridge_019,bridge_contract,predicted,tutor_plus_guard_plus_repair,deepseek_flash,disabled,candidate,false,false
resp_313edad4d2,cp_bridge_012,bridge_contract,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_088ee0a887,cp_bridge_017,single_llm_structured,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_e7e106f3da,cp_bridge_006,bridge_contract,predicted,tutor_plus_guard_plus_repair,deepseek_flash,disabled,candidate,false,false
resp_8f0f2b7d40,cp_bridge_010,current_system,predicted,tutor_only_no_diagnosis,deepseek_flash,disabled,candidate,false,false
resp_c1b7694e95,cp_bridge_009,bridge_contract,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_e7ee76c8cb,cp_bridge_008,bridge_contract,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_504d666ef3,cp_bridge_009,bridge_contract,predicted,tutor_plus_guard_plus_repair,deepseek_flash,disabled,candidate,false,false
resp_9e938cdaeb,cp_bridge_009,single_llm_structured,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_1b7a5b9362,cp_bridge_001,single_llm_structured,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
