case_id,category,problem_ref,student_message,student_message_length_bucket,problem_context,recent_dialogue,student_code_excerpt,missing_bridge,problem_source_platform,problem_source_id,problem_source_url,problem_statement,problem_statement_public_summary,problem_statement_rights_note,problem_statement_access_level,source_completion_status,source_notes
heldout_cp_001,dp_state,heldout_dp_knapsack_state_01,我看出来像背包，但 dp[j] 这一格到底应该存什么我还是说不清。,medium_short,给若干物品的代价和收益，在总代价限制内最大化收益。,N/A,N/A,缺把下标代表的资源限制和格子值代表的最优目标分开表达。,,,,,,,,,
heldout_cp_002,dp_state,heldout_dp_interval_state_01,区间 DP 我知道要枚举区间，但 f[l][r] 里面到底应该表示哪一段的信息？,medium_short,给一个序列，每次合并相邻区间有代价，求最小总代价。,"student: 我先按题意想了一下，但还没有完整做法。
assistant: 你现在已经确定了哪些信息？
student: 知道可能是区间 DP，知道会出现 l 和 r。
assistant: 先不要急着写代码，指出当前最卡住的一步。
student: 区间 DP 我知道要枚举区间，但 f[l][r] 里面到底应该表示哪一段的信息？",N/A,缺把状态下标和已经处理完的子问题边界对应起来。,,,,,,,,,
heldout_cp_003,dp_state,heldout_dp_tree_state_01,树形 DP 我会写 dfs，但每个点返回的状态应该包含什么不知道。,short,在树上选择若干节点，选择关系受到父子约束，求最大收益。,"student: 我先按题意想了一下，但还没有完整做法。
assistant: 你现在已经确定了哪些信息？
student: 知道要 DFS，知道子树结果会向父节点合并。
assistant: 先不要急着写代码，指出当前最卡住的一步。
student: 树形 DP 我会写 dfs，但每个点返回的状态应该包含什么不知道。",N/A,缺判断一个节点状态需要记录哪些会影响父节点选择的信息。,,,,,,,,,
heldout_cp_004,dp_state,heldout_dp_digit_state_01,数位 DP 的状态维度总是乱，我不知道哪些东西必须记下来。,short,统计不超过上界的整数中满足某种数字性质的数量。,"student: 我已经看过题意，当前大概知道：知道要按位考虑，也知道有上界限制。
assistant: 你先说现在最卡的是概念、判断，还是实现细节。
student: 数位 DP 的状态维度总是乱，我不知道哪些东西必须记下来。",N/A,缺区分递归状态中哪些信息会影响后续合法选择。,,,,,,,,,
heldout_cp_005,dp_state,heldout_dp_mask_state_01,我知道要压状态，但 mask 里面 1 和 0 到底代表什么我怕写反。,short,有若干小集合或任务，需要记录哪些对象已经被选择或处理。,"student: 我已经看过题意，当前大概知道：知道可以用 bitmask 表示集合状态。
assistant: 你先说现在最卡的是概念、判断，还是实现细节。
student: 我知道要压状态，但 mask 里面 1 和 0 到底代表什么我怕写反。",N/A,缺把二进制位和题目对象的已处理或未处理语义对应起来。,,,,,,,,,
heldout_cp_006,dp_transition,heldout_dp_knapsack_transition_01,状态我大概有了，但从上一层怎么转到当前这一层我不会想。,short,每个物品最多选一次，在资源限制下最大化收益。,N/A,N/A,缺把当前决策拆成使用当前对象和不使用当前对象两个来源。,,,,,,,,,
heldout_cp_007,dp_transition,heldout_dp_grid_transition_01,走格子的 DP 我知道状态，但不知道当前格子能从哪里来。,short,在网格中只能按有限方向移动，求到达每个格子的最优值或方案数。,"student: 我已经看过题意，当前大概知道：知道每个格子可以作为一个状态。
assistant: 你先说现在最卡的是概念、判断，还是实现细节。
student: 走格子的 DP 我知道状态，但不知道当前格子能从哪里来。",N/A,缺根据允许移动方向反推当前状态的依赖来源。,,,,,,,,,
heldout_cp_008,dp_transition,heldout_dp_interval_transition_01,区间状态有了，但为什么要枚举中间断点我没想明白。,short,一个区间的最优值需要由两个更小区间组合得到。,"student: 我已经看过题意，当前大概知道：知道 f[l][r] 表示一个区间的子问题。
assistant: 你先说现在最卡的是概念、判断，还是实现细节。
student: 区间状态有了，但为什么要枚举中间断点我没想明白。",N/A,缺把大区间拆成两个已解决小区间的分割关系。,,,,,,,,,
heldout_cp_009,dp_transition,heldout_dp_tree_merge_01,我能算每个子树，但多个儿子的结果怎么合到父亲这里不会。,short,树上每个节点有若干子节点，需要把子树贡献合并成父节点状态。,"student: 我已经看过题意，当前大概知道：知道 DFS 子树，也知道父节点要汇总儿子。
assistant: 你先说现在最卡的是概念、判断，还是实现细节。
student: 我能算每个子树，但多个儿子的结果怎么合到父亲这里不会。",N/A,缺把多个子节点贡献逐个合并，并保持中间状态语义不变的桥。,,,,,,,,,
heldout_cp_010,dp_transition,heldout_dp_rolling_update_01,二维压一维之后，为什么有时候要倒着枚举，我总记不住。,short,将一类 DP 的二维数组压成一维数组以节省空间。,"student: 我先按题意想了一下，但还没有完整做法。
assistant: 你现在已经确定了哪些信息？
student: 知道可以滚动数组优化，但不理解更新顺序。
assistant: 先不要急着写代码，指出当前最卡住的一步。
student: 二维压一维之后，为什么有时候要倒着枚举，我总记不住。",N/A,缺判断当前轮更新是否会覆盖仍需要的上一轮值。,,,,,,,,,
