anonymized_response_id,case_id,tutor_mode,guard_mode,pipeline_mode,tutor_model_provider,chat_thinking_mode,final_response_source,repair_applied,blocked
resp_b5232d2974,cp_bridge_009,bridge_contract,predicted,tutor_only,deepseek_flash,enabled,candidate,false,false
resp_38df41d77e,cp_bridge_005,bridge_contract,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_4c5d99d895,cp_bridge_006,bridge_contract,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_463237f46b,cp_bridge_001,bridge_contract,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_91bf24694b,cp_bridge_003,bridge_contract,predicted,tutor_only,deepseek_flash,enabled,candidate,false,false
resp_ef49079e9f,cp_bridge_003,bridge_contract,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_a88ac90dd6,cp_bridge_008,bridge_contract,predicted,tutor_only,deepseek_flash,enabled,candidate,false,false
resp_bfdf459179,cp_bridge_010,bridge_contract,predicted,tutor_only,deepseek_flash,enabled,candidate,false,false
resp_d720b44444,cp_bridge_002,bridge_contract,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_eeca0c2b70,cp_bridge_002,bridge_contract,predicted,tutor_only,deepseek_flash,enabled,candidate,false,false
resp_9a2cedfadf,cp_bridge_010,bridge_contract,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_e1611a93c1,cp_bridge_001,bridge_contract,predicted,tutor_only,deepseek_flash,enabled,candidate,false,false
resp_8a8637a4dd,cp_bridge_005,bridge_contract,predicted,tutor_only,deepseek_flash,enabled,candidate,false,false
resp_1927aa24d6,cp_bridge_009,bridge_contract,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_582abf7e54,cp_bridge_007,bridge_contract,predicted,tutor_only,deepseek_flash,enabled,candidate,false,false
resp_9134f60f4a,cp_bridge_006,bridge_contract,predicted,tutor_only,deepseek_flash,enabled,candidate,false,false
resp_ed3ce95732,cp_bridge_004,bridge_contract,predicted,tutor_only,deepseek_flash,enabled,candidate,false,false
resp_b1e9a80de2,cp_bridge_008,bridge_contract,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_64ae0f15ab,cp_bridge_007,bridge_contract,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_48644ce619,cp_bridge_004,bridge_contract,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
