anonymized_response_id,case_id,tutor_mode,guard_mode,pipeline_mode,tutor_model_provider,chat_thinking_mode,final_response_source,repair_applied,blocked
resp_50aef24e78,repair_stress_012,repair_stress_before_candidate,predicted,repair_stress_before_after,,,candidate_before_repair,false,false
resp_b28feddbb7,repair_stress_006,repair_stress_before_candidate,predicted,repair_stress_before_after,,,candidate_before_repair,false,false
resp_7aadf2b32c,repair_stress_010,repair_stress_after_repair,predicted,repair_stress_before_after,,,repair,true,false
resp_4a0a609642,repair_stress_006,repair_stress_after_repair,predicted,repair_stress_before_after,,,repair,true,false
resp_471dee3937,repair_stress_011,repair_stress_after_repair,predicted,repair_stress_before_after,,,repair,true,false
resp_64ca781b5a,repair_stress_009,repair_stress_after_repair,predicted,repair_stress_before_after,,,repair,true,false
resp_2e446f3f34,repair_stress_003,repair_stress_after_repair,predicted,repair_stress_before_after,,,repair,true,false
resp_b58b2dccf9,repair_stress_007,repair_stress_before_candidate,predicted,repair_stress_before_after,,,candidate_before_repair,false,false
resp_47a6e4cb85,repair_stress_005,repair_stress_after_repair,predicted,repair_stress_before_after,,,repair,true,false
resp_efc3f9ad67,repair_stress_001,repair_stress_after_repair,predicted,repair_stress_before_after,,,repair,true,false
resp_173f3a0140,repair_stress_010,repair_stress_before_candidate,predicted,repair_stress_before_after,,,candidate_before_repair,false,false
resp_0960889b6b,repair_stress_001,repair_stress_before_candidate,predicted,repair_stress_before_after,,,candidate_before_repair,false,false
resp_5fa673e7bc,repair_stress_007,repair_stress_after_repair,predicted,repair_stress_before_after,,,repair,true,false
resp_1e7c312615,repair_stress_009,repair_stress_before_candidate,predicted,repair_stress_before_after,,,candidate_before_repair,false,false
resp_d1843d1240,repair_stress_002,repair_stress_before_candidate,predicted,repair_stress_before_after,,,candidate_before_repair,false,false
resp_727f1dcb21,repair_stress_011,repair_stress_before_candidate,predicted,repair_stress_before_after,,,candidate_before_repair,false,false
resp_7eac32ae9c,repair_stress_005,repair_stress_before_candidate,predicted,repair_stress_before_after,,,candidate_before_repair,false,false
resp_f1ae992a53,repair_stress_004,repair_stress_before_candidate,predicted,repair_stress_before_after,,,candidate_before_repair,false,false
resp_885c311966,repair_stress_008,repair_stress_after_repair,predicted,repair_stress_before_after,,,repair,true,false
resp_f07ebacf5a,repair_stress_004,repair_stress_after_repair,predicted,repair_stress_before_after,,,repair,true,false
resp_b8536b6517,repair_stress_003,repair_stress_before_candidate,predicted,repair_stress_before_after,,,candidate_before_repair,false,false
resp_37b833ba77,repair_stress_012,repair_stress_after_repair,predicted,repair_stress_before_after,,,repair,true,false
resp_5b931c3b67,repair_stress_008,repair_stress_before_candidate,predicted,repair_stress_before_after,,,candidate_before_repair,false,false
resp_0cb61746c1,repair_stress_002,repair_stress_after_repair,predicted,repair_stress_before_after,,,repair,true,false
