anonymized_response_id,case_id,tutor_mode,guard_mode,pipeline_mode,tutor_model_provider,chat_thinking_mode,final_response_source,repair_applied,blocked
resp_9685ffd0bf,cp_bridge_003,enhanced_prompt_only,none,prompt_controlled_ablation,deepseek,,candidate,false,false
resp_2baee5c0c2,cp_bridge_002,bridge_contract_shuffled,none,prompt_controlled_ablation,deepseek,,candidate,false,false
resp_f51321efcb,cp_bridge_002,enhanced_prompt_only,none,prompt_controlled_ablation,deepseek,,candidate,false,false
resp_3fd1c8747d,cp_bridge_001,single_llm_structured,none,prompt_controlled_ablation,deepseek,,candidate,false,false
resp_e80172cb5e,cp_bridge_002,single_llm_structured,none,prompt_controlled_ablation,deepseek,,candidate,false,false
resp_e5cbf3f5f1,cp_bridge_003,bridge_contract_predicted,none,prompt_controlled_ablation,deepseek,,candidate,false,false
resp_54602b5ed9,cp_bridge_002,bridge_contract_oracle,none,prompt_controlled_ablation,deepseek,,candidate,false,false
resp_88566d5ce4,cp_bridge_001,bridge_contract_oracle,none,prompt_controlled_ablation,deepseek,,candidate,false,false
resp_5acae8c562,cp_bridge_003,single_llm_structured,none,prompt_controlled_ablation,deepseek,,candidate,false,false
resp_e345f34a36,cp_bridge_003,bridge_contract_shuffled,none,prompt_controlled_ablation,deepseek,,candidate,false,false
resp_f8be362e75,cp_bridge_001,bridge_contract_shuffled,none,prompt_controlled_ablation,deepseek,,candidate,false,false
resp_016d6cbd6c,cp_bridge_001,bridge_contract_predicted,none,prompt_controlled_ablation,deepseek,,candidate,false,false
resp_01345055f9,cp_bridge_003,bridge_contract_oracle,none,prompt_controlled_ablation,deepseek,,candidate,false,false
resp_15c0f73c64,cp_bridge_002,bridge_contract_predicted,none,prompt_controlled_ablation,deepseek,,candidate,false,false
resp_61617c3bdb,cp_bridge_001,enhanced_prompt_only,none,prompt_controlled_ablation,deepseek,,candidate,false,false
