scenario,slice,condition,n,case_n,overall,show_yes,show_no,ready,safe_ready,major_answer,minor,adjudicated_rows
coach_A_only,main_scaffold_eval,enhanced_prompt_only_clean,31,31,3.1613,8,5,8,8,12,11,0
coach_A_only,main_scaffold_eval,codehelp_codeaid_clean,31,31,3.6452,18,3,18,18,3,6,0
coach_A_only,main_scaffold_eval,dbox_inspired_clean,31,31,3.8065,21,3,21,21,3,5,0
coach_A_only,main_scaffold_eval,dbox_inspired_guard,31,31,3.7419,22,3,22,22,2,4,0
coach_A_only,main_scaffold_eval,bridge_guided_dbox_style_guard,31,31,3.8387,21,1,21,21,1,9,0
coach_A_only,main_scaffold_eval,bridge_contract_compact_guard,31,31,4.0645,23,1,23,23,3,4,0
coach_A_only,main_scaffold_eval,bridge_contract_compact_guard_repair,31,31,4.0,21,2,21,21,0,6,0
coach_A_only,main_eval_with_caution,enhanced_prompt_only_clean,5,5,3.2,2,2,2,2,2,1,0
coach_A_only,main_eval_with_caution,codehelp_codeaid_clean,5,5,3.4,3,1,3,3,0,0,0
coach_A_only,main_eval_with_caution,dbox_inspired_clean,5,5,3.2,2,1,2,2,0,1,0
coach_A_only,main_eval_with_caution,dbox_inspired_guard,5,5,3.2,2,1,2,2,0,1,0
coach_A_only,main_eval_with_caution,bridge_guided_dbox_style_guard,5,5,3.6,3,1,3,3,0,1,0
coach_A_only,main_eval_with_caution,bridge_contract_compact_guard,5,5,3.4,2,0,2,2,0,2,0
coach_A_only,main_eval_with_caution,bridge_contract_compact_guard_repair,5,5,4.0,4,0,4,4,1,0,0
coach_A_only,clarification_safety_slice,enhanced_prompt_only_clean,10,10,3.2,3,1,3,3,3,3,0
coach_A_only,clarification_safety_slice,codehelp_codeaid_clean,10,10,3.7,7,0,7,7,0,2,0
coach_A_only,clarification_safety_slice,dbox_inspired_clean,10,10,3.7,6,0,6,6,0,3,0
coach_A_only,clarification_safety_slice,dbox_inspired_guard,10,10,3.8,6,0,6,6,0,4,0
coach_A_only,clarification_safety_slice,bridge_guided_dbox_style_guard,10,10,3.2,3,2,3,3,1,4,0
coach_A_only,clarification_safety_slice,bridge_contract_compact_guard,10,10,3.6,5,0,5,5,1,4,0
coach_A_only,clarification_safety_slice,bridge_contract_compact_guard_repair,10,10,3.7,8,1,8,8,0,1,0
coach_A_only,policy_safety_slice,enhanced_prompt_only_clean,4,4,3.0,1,1,1,1,1,2,0
coach_A_only,policy_safety_slice,codehelp_codeaid_clean,4,4,3.75,3,0,3,3,0,1,0
coach_A_only,policy_safety_slice,dbox_inspired_clean,4,4,3.25,2,2,2,2,1,0,0
coach_A_only,policy_safety_slice,dbox_inspired_guard,4,4,3.75,3,0,3,3,0,1,0
coach_A_only,policy_safety_slice,bridge_guided_dbox_style_guard,4,4,3.75,2,1,2,2,1,1,0
