case_id,anonymized_response_id,condition_id,adjudication_decision,disagreement_reasons_zh,A_overall,B_overall,Adj_overall,A_show,B_show,Adj_show,A_leakage,B_leakage,Adj_leakage,Adj_student_ready,adjudication_notes
dialogue_v3_003_state_representation_semantics,resp_b197d9ff3e,bridge_contract_compact_guard_repair,use_A,总体质量差至少 2 分；是否可给学生看 yes/no 翻转；关键/答案级泄露分歧；同题排序差至少 4 位；student-ready 判断分歧,4.0,2.0,4.0,yes,no,yes,no_leakage,major_bridge_leakage,no_leakage,yes,能把问题拉回状态语义，只用小树让学生判断是否需要记录点燃状态；没有把完整状态定义替学生写出来。
dialogue_v3_009_transition_recurrence_source,resp_0aef361418,enhanced_prompt_only_clean,use_A,总体质量差至少 2 分；是否可给学生看 yes/no 翻转；关键/答案级泄露分歧；同题排序差至少 4 位；student-ready 判断分歧,2.0,4.0,2.0,no,yes,no,major_bridge_leakage,no_leakage,major_bridge_leakage,no,把树形背包合并的倒序、k 范围和留给 u 的位置都点出来了，学生基本不用自己搭递推桥。
dialogue_v3_037_correctness_invariant,resp_1cf42cf87d,enhanced_prompt_only_clean,use_A,总体质量差至少 2 分；是否可给学生看 yes/no 翻转；关键/答案级泄露分歧；同题排序差至少 4 位；student-ready 判断分歧,2.0,4.0,2.0,no,yes,no,major_bridge_leakage,no_leakage,major_bridge_leakage,no,例子把交换前后两个奖金的最大值直接算完，并指出比较对象和排序依据，局部交换桥基本被补完。
dialogue_v3_038_correctness_invariant,resp_ebc939b7fa,enhanced_prompt_only_clean,use_A,总体质量差至少 2 分；是否可给学生看 yes/no 翻转；关键/答案级泄露分歧；同题排序差至少 4 位；student-ready 判断分歧,2.0,4.0,2.0,no,yes,no,major_bridge_leakage,no_leakage,major_bridge_leakage,no,直接说出剩余木棍要落在剩余位数可行区间这个不变量，已经把证明的关键支点交给学生了。
dialogue_v3_042_implementation_boundary,resp_3e506cadba,enhanced_prompt_only_clean,new_label,总体质量差至少 2 分；是否可给学生看 yes/no 翻转；关键/答案级泄露分歧；同题排序差至少 4 位；student-ready 判断分歧,2.0,4.0,2.0,no,yes,no,answer_leakage,no_leakage,major_bridge_leakage,no,定位到 split 前导空串和根目录计数，还给了不同输出对应的原因；不是完整代码，但已经直接指出关键 bug 方向。
dialogue_v3_048_policy_request,resp_09bf0b210f,enhanced_prompt_only_clean,new_label,总体质量差至少 2 分；是否可给学生看 yes/no 翻转；关键/答案级泄露分歧；同题排序差至少 4 位；student-ready 判断分歧,2.0,4.0,4.0,no,yes,yes,major_bridge_leakage,no_leakage,no_leakage,yes,没有给完整做法，而是用第一段加油决策让学生说理由；提示稍带策略味道，但仍保留了学生判断空间。
dialogue_v3_049_policy_request,resp_6704cb6ee1,bridge_contract_compact_guard,use_A,总体质量差至少 2 分；是否可给学生看 yes/no 翻转；关键/答案级泄露分歧；同题排序差至少 4 位；student-ready 判断分歧,5.0,2.0,5.0,yes,no,yes,no_leakage,major_bridge_leakage,no_leakage,yes,只让学生算两个很小的异或区间并观察关系，下一步明确，没有把完整思路或代码给出。
dialogue_v3_006_state_representation_semantics,resp_8a11af62ff,enhanced_prompt_only_clean,use_A,总体质量差至少 2 分；是否可给学生看 yes/no 翻转；关键/答案级泄露分歧；student-ready 判断分歧,4.0,2.0,4.0,yes,no,yes,no_leakage,major_bridge_leakage,no_leakage,yes,先让学生解释“不能连续走土路”这一限制，属于状态前置语义澄清，没有直接给状态维度。
dialogue_v3_004_state_representation_semantics,resp_e68989b7e0,enhanced_prompt_only_clean,use_A,关键/答案级泄露分歧；同题排序差至少 4 位；student-ready 判断分歧,3.0,4.0,3.0,borderline,yes,borderline,major_bridge_leakage,no_leakage,major_bridge_leakage,unclear,两个候选状态已经把主要维度摆出来了，学生只是二选一；虽然没明说答案，但状态桥泄露偏重。
dialogue_v3_013_predicate_check_semantics,resp_02940e7ecd,dbox_inspired_guard,use_A,关键/答案级泄露分歧；同题排序差至少 4 位；student-ready 判断分歧,3.0,4.0,3.0,borderline,yes,borderline,major_bridge_leakage,no_leakage,major_bridge_leakage,unclear,把多边形最长边与其余边之和的判定条件几乎说出来了，check 关键条件被明显提前暴露。
dialogue_v3_025_modeling_object_relation,resp_786a8f3fbb,enhanced_prompt_only_clean,use_A,关键/答案级泄露分歧；同题排序差至少 4 位；student-ready 判断分歧,3.0,4.0,3.0,borderline,yes,borderline,major_bridge_leakage,no_leakage,major_bridge_leakage,unclear,直接说明房间是点、通道是边、长度是边权，建模映射已经基本补完。
dialogue_v3_032_data_structure_operation_semantics,resp_4575adf521,enhanced_prompt_only_clean,use_A,关键/答案级泄露分歧；同题排序差至少 4 位；student-ready 判断分歧,3.0,4.0,3.0,borderline,yes,borderline,major_bridge_leakage,no_leakage,major_bridge_leakage,unclear,直接指出 sum 应改成维护最大值且不用 lazy，已经越过“摘要量语义”让学生自己确认的阶段。
dialogue_v3_046_debugging_evidence,resp_eb6ff68b29,codehelp_codeaid_clean,new_label,关键/答案级泄露分歧；同题排序差至少 4 位；student-ready 判断分歧,3.0,4.0,4.0,borderline,yes,yes,major_bridge_leakage,no_leakage,no_leakage,yes,把调试点压到前三秒的魔法值和距离，给的是题面规则和检查变量，没有直接修代码。
dialogue_v3_015_predicate_check_semantics,resp_27fbe64925,bridge_contract_compact_guard,use_B,关键/答案级泄露分歧；同题排序差至少 4 位,3.0,3.0,3.0,borderline,borderline,borderline,major_bridge_leakage,no_leakage,no_leakage,unclear,只确认 true 的语义并让学生用小 mid 判断更新方向，没有给完整 check 条件，强度还算可控。
dialogue_v3_018_boundary_update_order,resp_90c30ace48,enhanced_prompt_only_clean,use_A,关键/答案级泄露分歧；同题排序差至少 4 位,2.0,3.0,2.0,no,borderline,no,major_bridge_leakage,no_leakage,major_bridge_leakage,no,表格已经演示出小到大会复用本轮物品、大到小不会，循环方向结论基本不用学生自己推了。
dialogue_v3_040_correctness_invariant,resp_e153b63bfc,enhanced_prompt_only_clean,use_A,关键/答案级泄露分歧；同题排序差至少 4 位,3.0,3.0,3.0,borderline,borderline,borderline,major_bridge_leakage,no_leakage,major_bridge_leakage,unclear,直接点明要比较“覆盖所有区间”和“检测点数量不增加”，交换论证的核心指标已经给出。
dialogue_v3_001_state_representation_semantics,resp_713a08d370,enhanced_prompt_only_clean,new_label,关键/答案级泄露分歧,3.0,3.0,3.0,borderline,borderline,borderline,major_bridge_leakage,no_leakage,minor_bridge_leakage,unclear,例子明显把区间状态往“子串最小代价”上带，没写成 dp[l][r]，但提示已经偏强。
dialogue_v3_002_state_representation_semantics,resp_535ee7e827,bridge_guided_dbox_style_guard,new_label,关键/答案级泄露分歧,2.0,3.0,4.0,no,borderline,yes,major_bridge_leakage,no_leakage,no_leakage,yes,用传球小表让学生自己概括 dp[i][j]，虽然例子很细，但没有直接说出通用定义。
dialogue_v3_009_transition_recurrence_source,resp_e4f169ea1a,bridge_contract_compact_guard,new_label,关键/答案级泄露分歧,3.0,3.0,3.0,borderline,borderline,borderline,major_bridge_leakage,no_leakage,minor_bridge_leakage,unclear,提到临时数组/倒序避免重复选择，线索有点强；同时没有真正列出递推来源，只算半步提示。
dialogue_v3_012_predicate_check_semantics,resp_67b5d29f57,dbox_inspired_guard,new_label,关键/答案级泄露分歧,2.0,2.0,2.0,no,no,no,minor_bridge_leakage,major_bridge_leakage,major_bridge_leakage,no,把 check(mid) 的可行含义和“找更小可行差值”都说出来了，true 后该收哪边基本被补完。
