anonymized_response_id,case_id,tutor_mode,guard_mode,pipeline_mode,tutor_model_provider,chat_thinking_mode,final_response_source,repair_applied,blocked
resp_cbc62c6b2a,cp_bridge_004,bridge_contract,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_9a6d6ed1e2,cp_bridge_010,bridge_contract,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_321d77f1e3,cp_bridge_008,bridge_contract,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_4669ab0d1f,cp_bridge_001,bridge_contract,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_d5afdfdf5f,cp_bridge_003,bridge_contract,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_6153ec99d9,cp_bridge_007,bridge_contract,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_39ee4cbfd4,cp_bridge_005,bridge_contract,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_c6a7c28f0a,cp_bridge_006,bridge_contract,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_0d184fc091,cp_bridge_002,bridge_contract,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_4fe27dbcff,cp_bridge_009,bridge_contract,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
