anonymized_response_id,case_id,tutor_mode,guard_mode,pipeline_mode,tutor_model_provider,chat_thinking_mode,final_response_source,repair_applied,blocked
resp_e080ab04b3,dialogue_v3_012_predicate_check_semantics,dbox_inspired_decomposition_tutor,predicted,tutor_plus_guard_plus_repair,deepseek_flash,profile_default,repair,true,false
resp_56e5c76d8d,dialogue_v3_013_predicate_check_semantics,dbox_inspired_decomposition_tutor,predicted,tutor_plus_guard_plus_repair,deepseek_flash,profile_default,repair,true,false
resp_223aeebd7a,dialogue_v3_020_boundary_update_order,dbox_inspired_decomposition_tutor,predicted,tutor_plus_guard_plus_repair,deepseek_flash,profile_default,repair,true,false
resp_ecd4120ead,dialogue_v3_030_aggregation_contribution_summary,dbox_inspired_decomposition_tutor,predicted,tutor_plus_guard_plus_repair,deepseek_flash,profile_default,repair,true,false
resp_bf657dfb52,dialogue_v3_011_transition_recurrence_source,dbox_inspired_decomposition_tutor,predicted,tutor_plus_guard_plus_repair,deepseek_flash,profile_default,repair,true,false
resp_a42ada0f17,dialogue_v3_014_predicate_check_semantics,dbox_inspired_decomposition_tutor,predicted,tutor_plus_guard_plus_repair,deepseek_flash,profile_default,repair,true,false
resp_12aeaa5f9f,dialogue_v3_032_data_structure_operation_semantics,dbox_inspired_decomposition_tutor,predicted,tutor_plus_guard_plus_repair,deepseek_flash,profile_default,repair,true,false
resp_2e87451f57,dialogue_v3_033_data_structure_operation_semantics,dbox_inspired_decomposition_tutor,predicted,tutor_plus_guard_plus_repair,deepseek_flash,profile_default,repair,true,false
resp_0b7421b512,dialogue_v3_005_state_representation_semantics,dbox_inspired_decomposition_tutor,predicted,tutor_plus_guard_plus_repair,deepseek_flash,profile_default,repair,true,false
resp_c653243908,dialogue_v3_022_modeling_object_relation,dbox_inspired_decomposition_tutor,predicted,tutor_plus_guard_plus_repair,deepseek_flash,profile_default,repair,true,false
resp_e5a50f1ac5,dialogue_v3_034_data_structure_operation_semantics,dbox_inspired_decomposition_tutor,predicted,tutor_plus_guard_plus_repair,deepseek_flash,profile_default,repair,true,false
resp_c1703bea82,dialogue_v3_035_data_structure_operation_semantics,dbox_inspired_decomposition_tutor,predicted,tutor_plus_guard_plus_repair,deepseek_flash,profile_default,repair,true,false
resp_230001326e,dialogue_v3_036_correctness_invariant,dbox_inspired_decomposition_tutor,predicted,tutor_plus_guard_plus_repair,deepseek_flash,profile_default,repair,true,false
resp_17ab2684d7,dialogue_v3_040_correctness_invariant,dbox_inspired_decomposition_tutor,predicted,tutor_plus_guard_plus_repair,deepseek_flash,profile_default,repair,true,false
resp_4c2337a2ce,dialogue_v3_031_data_structure_operation_semantics,dbox_inspired_decomposition_tutor,predicted,tutor_plus_guard_plus_repair,deepseek_flash,profile_default,candidate,false,false
resp_85f24ca560,dialogue_v3_042_implementation_boundary,dbox_inspired_decomposition_tutor,predicted,tutor_plus_guard_plus_repair,deepseek_flash,profile_default,repair,true,false
resp_6404042cb7,dialogue_v3_025_modeling_object_relation,dbox_inspired_decomposition_tutor,predicted,tutor_plus_guard_plus_repair,deepseek_flash,profile_default,candidate,false,false
resp_40175690d7,dialogue_v3_001_state_representation_semantics,dbox_inspired_decomposition_tutor,predicted,tutor_plus_guard_plus_repair,deepseek_flash,profile_default,repair,true,false
resp_0db1817a15,dialogue_v3_016_predicate_check_semantics,dbox_inspired_decomposition_tutor,predicted,tutor_plus_guard_plus_repair,deepseek_flash,profile_default,candidate,false,false
resp_0f7146b55f,dialogue_v3_027_aggregation_contribution_summary,dbox_inspired_decomposition_tutor,predicted,tutor_plus_guard_plus_repair,deepseek_flash,profile_default,candidate,false,false
