anonymized_response_id,case_id,tutor_mode,guard_mode,pipeline_mode,tutor_model_provider,chat_thinking_mode,final_response_source,repair_applied,blocked
resp_b0a8cb4046,repair_stress_012,repair_stress_after_repair,predicted,repair_stress_before_after,,,repair,true,false
resp_0d4624de1b,repair_stress_016,repair_stress_before_candidate,predicted,repair_stress_before_after,,,candidate_before_repair,false,false
resp_141f2c8f59,repair_stress_015,repair_stress_after_repair,predicted,repair_stress_before_after,,,repair,true,false
resp_c46334c779,repair_stress_011,repair_stress_after_repair,predicted,repair_stress_before_after,,,repair,true,false
resp_9490240bea,repair_stress_013,repair_stress_before_candidate,predicted,repair_stress_before_after,,,candidate_before_repair,false,false
resp_7d93995f2f,repair_stress_020,repair_stress_after_repair,predicted,repair_stress_before_after,,,repair,true,false
resp_3b330b103b,repair_stress_020,repair_stress_before_candidate,predicted,repair_stress_before_after,,,candidate_before_repair,false,false
resp_57d7fa489e,repair_stress_019,repair_stress_before_candidate,predicted,repair_stress_before_after,,,candidate_before_repair,false,false
resp_41ca547597,repair_stress_005,repair_stress_before_candidate,predicted,repair_stress_before_after,,,candidate_before_repair,false,false
resp_b1a9fd18c5,repair_stress_005,repair_stress_after_repair,predicted,repair_stress_before_after,,,repair,true,false
resp_93d44a07e3,repair_stress_018,repair_stress_before_candidate,predicted,repair_stress_before_after,,,candidate_before_repair,false,false
resp_01d2b76a6d,repair_stress_007,repair_stress_before_candidate,predicted,repair_stress_before_after,,,candidate_before_repair,false,false
resp_8b822335b2,repair_stress_009,repair_stress_before_candidate,predicted,repair_stress_before_after,,,candidate_before_repair,false,false
resp_0d52bf85bb,repair_stress_015,repair_stress_before_candidate,predicted,repair_stress_before_after,,,candidate_before_repair,false,false
resp_69d27d84eb,repair_stress_017,repair_stress_after_repair,predicted,repair_stress_before_after,,,repair,true,false
resp_8d568ed18a,repair_stress_016,repair_stress_after_repair,predicted,repair_stress_before_after,,,repair,true,false
resp_85461898c7,repair_stress_004,repair_stress_before_candidate,predicted,repair_stress_before_after,,,candidate_before_repair,false,false
resp_a4a1cd42dc,repair_stress_007,repair_stress_after_repair,predicted,repair_stress_before_after,,,repair,true,false
resp_a27914955b,repair_stress_009,repair_stress_after_repair,predicted,repair_stress_before_after,,,repair,true,false
resp_221371f2e2,repair_stress_010,repair_stress_after_repair,predicted,repair_stress_before_after,,,repair,true,false
resp_5caee600ea,repair_stress_006,repair_stress_before_candidate,predicted,repair_stress_before_after,,,candidate_before_repair,false,false
resp_039076ac56,repair_stress_008,repair_stress_after_repair,predicted,repair_stress_before_after,,,repair,true,false
resp_aab6483a28,repair_stress_002,repair_stress_before_candidate,predicted,repair_stress_before_after,,,candidate_before_repair,false,false
resp_d20bf2d394,repair_stress_006,repair_stress_after_repair,predicted,repair_stress_before_after,,,repair,true,false
resp_5f65f10f36,repair_stress_004,repair_stress_after_repair,predicted,repair_stress_before_after,,,repair,true,false
resp_379d22197a,repair_stress_011,repair_stress_before_candidate,predicted,repair_stress_before_after,,,candidate_before_repair,false,false
resp_505386ceed,repair_stress_008,repair_stress_before_candidate,predicted,repair_stress_before_after,,,candidate_before_repair,false,false
resp_a34fc9afa3,repair_stress_014,repair_stress_after_repair,predicted,repair_stress_before_after,,,repair,true,false
resp_fd20999b08,repair_stress_002,repair_stress_after_repair,predicted,repair_stress_before_after,,,repair,true,false
resp_4d39178d36,repair_stress_001,repair_stress_after_repair,predicted,repair_stress_before_after,,,repair,true,false
resp_c929c23858,repair_stress_001,repair_stress_before_candidate,predicted,repair_stress_before_after,,,candidate_before_repair,false,false
resp_a5d7b7fc33,repair_stress_014,repair_stress_before_candidate,predicted,repair_stress_before_after,,,candidate_before_repair,false,false
resp_fbed75d23f,repair_stress_013,repair_stress_after_repair,predicted,repair_stress_before_after,,,repair,true,false
resp_394c20e882,repair_stress_019,repair_stress_after_repair,predicted,repair_stress_before_after,,,repair,true,false
resp_2a82bf96d1,repair_stress_017,repair_stress_before_candidate,predicted,repair_stress_before_after,,,candidate_before_repair,false,false
resp_88c7fac44a,repair_stress_003,repair_stress_after_repair,predicted,repair_stress_before_after,,,repair,true,false
resp_32073b46db,repair_stress_010,repair_stress_before_candidate,predicted,repair_stress_before_after,,,candidate_before_repair,false,false
resp_668743ca5b,repair_stress_012,repair_stress_before_candidate,predicted,repair_stress_before_after,,,candidate_before_repair,false,false
resp_a56b27eb38,repair_stress_003,repair_stress_before_candidate,predicted,repair_stress_before_after,,,candidate_before_repair,false,false
resp_e699e601a0,repair_stress_018,repair_stress_after_repair,predicted,repair_stress_before_after,,,repair,true,false
