anonymized_response_id,case_id,tutor_mode,guard_mode,pipeline_mode,tutor_model_provider,chat_thinking_mode,final_response_source,repair_applied,blocked
resp_7f8b3fdae5,real_aichat_1,bridge_contract,predicted,tutor_plus_guard_plus_repair,deepseek_flash,disabled,candidate,false,false
resp_47cdb4d8a1,real_aichat_249,bridge_contract,predicted,tutor_plus_guard,deepseek_flash,disabled,candidate,false,false
resp_dab1ffe5c1,real_aichat_987,edf_inspired_adaptive_scaffolding_tutor,predicted,tutor_only_no_diagnosis,deepseek_flash,disabled,candidate,false,false
resp_803c81a009,real_aichat_827,edf_inspired_adaptive_scaffolding_tutor,predicted,tutor_only_no_diagnosis,deepseek_flash,disabled,candidate,false,false
resp_8005d9e420,real_aichat_257,dbox_inspired_decomposition_tutor,predicted,tutor_plus_guard,deepseek_flash,disabled,candidate,false,false
resp_685397d762,real_aichat_987,edf_inspired_adaptive_scaffolding_tutor,predicted,tutor_plus_guard,deepseek_flash,disabled,candidate,false,false
resp_a14ba1a166,real_aichat_257,edf_inspired_adaptive_scaffolding_tutor,predicted,tutor_plus_guard,deepseek_flash,disabled,candidate,false,false
resp_ced9de7cbf,real_aichat_1,bridge_contract,predicted,tutor_plus_guard,deepseek_flash,disabled,candidate,false,false
resp_6e2504d111,real_aichat_1,enhanced_prompt_only,predicted,tutor_only_no_diagnosis,deepseek_flash,disabled,candidate,false,false
resp_72821cc02a,real_aichat_827,edf_inspired_adaptive_scaffolding_tutor,predicted,tutor_plus_guard,deepseek_flash,disabled,candidate,false,false
resp_7685359b9e,real_aichat_1293,edf_inspired_adaptive_scaffolding_tutor,predicted,tutor_only_no_diagnosis,deepseek_flash,disabled,candidate,false,false
resp_34f8a2ad1d,real_aichat_1293,dbox_inspired_decomposition_tutor,predicted,tutor_plus_guard,deepseek_flash,disabled,candidate,false,false
resp_1b58111545,real_aichat_1293,bridge_contract,predicted,tutor_plus_guard,deepseek_flash,disabled,candidate,false,false
resp_1525b6b76a,real_aichat_827,enhanced_prompt_only,predicted,tutor_only_no_diagnosis,deepseek_flash,disabled,candidate,false,false
resp_2f5a864c8c,real_aichat_257,enhanced_prompt_only,predicted,tutor_only_no_diagnosis,deepseek_flash,disabled,candidate,false,false
resp_a507f5ea02,real_aichat_249,dbox_inspired_decomposition_tutor,predicted,tutor_plus_guard,deepseek_flash,disabled,candidate,false,false
resp_df0093ada7,real_aichat_257,bridge_contract,predicted,tutor_plus_guard_plus_repair,deepseek_flash,disabled,repair,true,false
resp_e956912a7d,real_aichat_247,bridge_contract,predicted,tutor_plus_guard,deepseek_flash,disabled,candidate,false,false
resp_c1a23bb275,real_aichat_257,edf_inspired_adaptive_scaffolding_tutor,predicted,tutor_only_no_diagnosis,deepseek_flash,disabled,candidate,false,false
resp_16ebb42a4c,real_aichat_987,bridge_contract,predicted,tutor_plus_guard,deepseek_flash,disabled,candidate,false,false
resp_1509bb4b1e,real_aichat_247,edf_inspired_adaptive_scaffolding_tutor,predicted,tutor_plus_guard,deepseek_flash,disabled,candidate,false,false
resp_bae63bbab8,real_aichat_247,bridge_contract,predicted,tutor_plus_guard_plus_repair,deepseek_flash,disabled,candidate,false,false
resp_10e1615138,real_aichat_987,enhanced_prompt_only,predicted,tutor_only_no_diagnosis,deepseek_flash,disabled,candidate,false,false
resp_d3a1baafec,real_aichat_1,edf_inspired_adaptive_scaffolding_tutor,predicted,tutor_only_no_diagnosis,deepseek_flash,disabled,candidate,false,false
resp_0a89b8c109,real_aichat_257,bridge_contract,predicted,tutor_plus_guard,deepseek_flash,disabled,candidate,false,false
resp_f87303da58,real_aichat_1,dbox_inspired_decomposition_tutor,predicted,tutor_plus_guard,deepseek_flash,disabled,candidate,false,false
resp_a754f6a715,real_aichat_249,enhanced_prompt_only,predicted,tutor_only_no_diagnosis,deepseek_flash,disabled,candidate,false,false
resp_0bda5af7f7,real_aichat_827,bridge_contract,predicted,tutor_plus_guard_plus_repair,deepseek_flash,disabled,candidate,false,false
resp_25bb529889,real_aichat_27,bridge_contract,predicted,tutor_plus_guard_plus_repair,deepseek_flash,disabled,candidate,false,false
resp_882ef52ce1,real_aichat_27,edf_inspired_adaptive_scaffolding_tutor,predicted,tutor_plus_guard,deepseek_flash,disabled,candidate,false,false
resp_7879092f09,real_aichat_987,bridge_contract,predicted,tutor_plus_guard_plus_repair,deepseek_flash,disabled,candidate,false,false
resp_02fb66d553,real_aichat_249,edf_inspired_adaptive_scaffolding_tutor,predicted,tutor_only_no_diagnosis,deepseek_flash,disabled,candidate,false,false
resp_8459d2d269,real_aichat_1293,bridge_contract,predicted,tutor_plus_guard_plus_repair,deepseek_flash,disabled,candidate,false,false
resp_1fb47b9150,real_aichat_27,enhanced_prompt_only,predicted,tutor_only_no_diagnosis,deepseek_flash,disabled,candidate,false,false
resp_f5a46028fa,real_aichat_249,bridge_contract,predicted,tutor_plus_guard_plus_repair,deepseek_flash,disabled,repair,true,false
resp_efb8747e81,real_aichat_1,edf_inspired_adaptive_scaffolding_tutor,predicted,tutor_plus_guard,deepseek_flash,disabled,candidate,false,false
resp_b08a97dac5,real_aichat_987,dbox_inspired_decomposition_tutor,predicted,tutor_plus_guard,deepseek_flash,disabled,candidate,false,false
resp_4d17a50289,real_aichat_247,enhanced_prompt_only,predicted,tutor_only_no_diagnosis,deepseek_flash,disabled,candidate,false,false
resp_f4dea4093f,real_aichat_827,dbox_inspired_decomposition_tutor,predicted,tutor_plus_guard,deepseek_flash,disabled,candidate,false,false
resp_2109c341df,real_aichat_247,edf_inspired_adaptive_scaffolding_tutor,predicted,tutor_only_no_diagnosis,deepseek_flash,disabled,candidate,false,false
resp_4d64705c50,real_aichat_1293,edf_inspired_adaptive_scaffolding_tutor,predicted,tutor_plus_guard,deepseek_flash,disabled,candidate,false,false
resp_d53c6d4a7a,real_aichat_1293,enhanced_prompt_only,predicted,tutor_only_no_diagnosis,deepseek_flash,disabled,candidate,false,false
resp_b6d8f60b56,real_aichat_247,dbox_inspired_decomposition_tutor,predicted,tutor_plus_guard,deepseek_flash,disabled,candidate,false,false
resp_2637875fd8,real_aichat_27,edf_inspired_adaptive_scaffolding_tutor,predicted,tutor_only_no_diagnosis,deepseek_flash,disabled,candidate,false,false
resp_c3efc536de,real_aichat_27,bridge_contract,predicted,tutor_plus_guard,deepseek_flash,disabled,candidate,false,false
resp_5b4d08ac83,real_aichat_827,bridge_contract,predicted,tutor_plus_guard,deepseek_flash,disabled,candidate,false,false
resp_2ca7d57923,real_aichat_249,edf_inspired_adaptive_scaffolding_tutor,predicted,tutor_plus_guard,deepseek_flash,disabled,candidate,false,false
resp_56aa01bb6d,real_aichat_27,dbox_inspired_decomposition_tutor,predicted,tutor_plus_guard,deepseek_flash,disabled,candidate,false,false
