case_id,anonymized_response_id,problem_ref,student_message,problem_context,recent_dialogue,response_text,coach_bridge_identification_score,coach_groundedness_score,coach_scaffold_appropriateness_score,coach_bridge_leakage_control_score,coach_next_step_clarity_score,coach_single_focus_coherence_score,coach_bridge_oriented_micro_example_score,coach_micro_example_applicability,coach_leakage_label,coach_preference_rank,coach_overall_quality_score,coach_would_show_to_student,coach_reviewer_confidence,coach_needs_discussion,coach_notes,review_status
repair_stress_012,resp_50aef24e78,cp_bridge_014,我的双重循环看起来挺简单，为什么会 TLE？n 是 2e5。,复杂度估算与瓶颈定位，学生缺少 n^2 与数据范围之间的桥。,N/A,"双重循环是 O(n^2)，n=2e5 时大约 4e10 次操作，肯定过不了。你需要把内层循环换成能快速查询或维护答案的数据结构，比如前缀和、树状数组或单调结构。

[LEVEL:L2]",,,,,,,,,,,,,,,,unlabeled
repair_stress_006,resp_b28feddbb7,cp_bridge_005,pushdown 的时候我总觉得 lazy 是欠账，但欠给谁、什么时候还，我说不清。,线段树区间加与 lazy pushdown。,N/A,"lazy 就是父节点欠两个儿子的账。pushdown 时，把 lazy[x] 加到 lazy[left] 和 lazy[right]，同时把 sum[left] 增加 lazy[x] * len(left)，sum[right] 增加 lazy[x] * len(right)，最后 lazy[x]=0。

[LEVEL:L2]",,,,,,,,,,,,,,,,unlabeled
repair_stress_010,resp_7aadf2b32c,cp_bridge_002,我知道要二分答案，但 check(mid) 到底返回 true 还是 false 我总写反。,二分答案，学生缺少判定函数 true/false 语义和边界更新之间的连接。,N/A,你提到 check(mid) 的结果和边界调整方向有关。假设 check(mid) 返回 true，这意味着你找到了一个可行的方案——那么答案还能不能再大一点？反过来，如果返回 false，说明这个 mid 太大了还是太小了？试着结合一个具体例子想一想。 [LEVEL:L2],,,,,,,,,,,,,,,,unlabeled
repair_stress_006,resp_4a0a609642,cp_bridge_005,pushdown 的时候我总觉得 lazy 是欠账，但欠给谁、什么时候还，我说不清。,线段树区间加与 lazy pushdown。,N/A,"你的比喻很贴切，“欠账”就是懒标记，父节点记录欠账，但不立刻下放。现在考虑一个场景：假设结点 x 有懒标记 lazy[x] = 3，它要下传给左儿子 left。请问：
1. 左儿子的懒标记 lazy[left] 应该怎么变？
2. 左儿子代表的区间总和 sum[left] 应该怎么变？请从“欠账”和“还账”的角度解释。
[LEVEL:L2]",,,,,,,,,,,,,,,,unlabeled
repair_stress_011,resp_471dee3937,cp_bridge_018,合并果子为什么每次都要从堆里取两个最小的？我能不能直接顺序合并？,哈夫曼/合并果子，学生缺少堆操作和贪心选择之间的连接。,N/A,好问题！假设有三堆果子，重量分别是 1、2、3。如果按顺序合并（1+2=3，再 3+3=6，总代价 3+6=9），但如果先合并 1 和 3 会怎样？请你列出所有可能的合并顺序，计算每种顺序的总代价，然后比较一下哪种顺序代价最小，并思考为什么。 [LEVEL:L2],,,,,,,,,,,,,,,,unlabeled
repair_stress_009,resp_64ca781b5a,cp_bridge_008,二分找第一个满足条件的位置时，l 和 r 到底怎么收缩我老写反。,二分查找 first true / lower_bound 风格边界更新。,N/A,"当 check(mid) 为 true 时，mid 是否可能是最终答案？如果有可能，下一个搜索区间应该包含 mid 还是排除 mid？反过来，check(mid) 为 false 时呢？先用简单数组（比如 [false, false, true, true]）模拟几次，试着总结你自己的规律。[LEVEL:L2]",,,,,,,,,,,,,,,,unlabeled
repair_stress_003,resp_2e446f3f34,cp_bridge_001,我知道要 LCA，但不知道每条路径到底在哪里加减标记。,树上多条路径贡献统计，学生知道 LCA，但缺少端点/LCA 差分标记和 DFS 汇总这一步。,N/A,"想想看，如果只处理一条链上的路径，怎么用差分标记把路径上的每条边都贡献一次？然后扩展到树上，LCA 处有什么特殊？你可以构造一个只有三个点的链式树，手动模拟一下标记和传递的过程。
[LEVEL:L2]",,,,,,,,,,,,,,,,unlabeled
repair_stress_007,resp_b58b2dccf9,cp_bridge_011,差分约束我知道像建图，但 a[i]-a[j] <= c 到底边从谁连谁我总写反。,差分约束系统建图，学生缺少不等式到边方向的映射。,N/A,"把 a[i]-a[j] <= c 变形为 a[i] <= a[j] + c，所以建边 j -> i，边权 c。这样最短路的 relax 正好对应 a[i] 被 a[j]+c 约束住。

[LEVEL:L2]",,,,,,,,,,,,,,,,unlabeled
repair_stress_005,resp_47a6e4cb85,cp_bridge_005,线段树区间加我会写一点，但 lazy 到底表示还没做什么，我说不清。,区间加、区间求和的线段树懒标记。学生会一些代码，但不理解 lazy 的语义。,N/A,我们举个简单数字例子。假设某个节点只有一个元素，初始sum=5。现在要对这个区间加3（区间长度1）。我先告诉你：加完后这个节点的值变成8，但它的两个孩子（虽然不存在，我们假装有）的sum还没有变。那么问题来了：如果之后我需要访问这个节点的左孩子的sum，而左孩子当前的sum是假的（没有加上3），我应该怎么做？请先写一个步骤：______。[LEVEL:L2],,,,,,,,,,,,,,,,unlabeled
repair_stress_001,resp_efc3f9ad67,cp_bridge_010,01 背包为什么容量要倒着枚举？正着枚举不是也能更新吗？,01 背包，每个物品最多选一次。学生知道二维 DP，正在理解压成一维后的枚举顺序。,N/A,考虑一个小例子：一个物品体积2，价值5，背包容量4。如果容量从小到大枚举（0到4），那么当容量=2时，dp[2]=5；接着容量=3时，dp[3]由dp[1]+5得到，但dp[1]为0，所以dp[3]=5？再继续容量=4时，dp[4]由dp[2]+5得到，此时dp[2]是几？你填一下当前枚举到容量4时dp[2]的值，并思考这个值代表的意义，以及和期望结果是否一致。 [LEVEL:L2],,,,,,,,,,,,,,,,unlabeled
repair_stress_010,resp_173f3a0140,cp_bridge_002,我知道要二分答案，但 check(mid) 到底返回 true 还是 false 我总写反。,二分答案，学生缺少判定函数 true/false 语义和边界更新之间的连接。,N/A,"check(mid) 应该返回是否存在一个合法方案让答案至少达到 mid。如果 check(mid)=true，说明 mid 可行，可以尝试更大的 mid；如果 false，就要把上界往小调。

[LEVEL:L2]",,,,,,,,,,,,,,,,unlabeled
repair_stress_001,resp_0960889b6b,cp_bridge_010,01 背包为什么容量要倒着枚举？正着枚举不是也能更新吗？,01 背包，每个物品最多选一次。学生知道二维 DP，正在理解压成一维后的枚举顺序。,N/A,"正着枚举会重复使用当前物品。比如第一个物品体积 2、价值 5，容量从小到大更新时，dp[2] 先变成 5，随后 dp[4] 会立刻用刚更新的 dp[2] 再加一次 5，变成 10，这等于把同一个物品选了两次。所以 01 背包必须倒着枚举容量。

[LEVEL:L2]",,,,,,,,,,,,,,,,unlabeled
repair_stress_007,resp_5fa673e7bc,cp_bridge_011,差分约束我知道像建图，但 a[i]-a[j] <= c 到底边从谁连谁我总写反。,差分约束系统建图，学生缺少不等式到边方向的映射。,N/A,把 a[i]-a[j] <= c 变形为 a[i] <= a[j] + c。你在最短路中，对于一条边 u->v 边权 w，relax 操作是 dist[v] <= dist[u] + w。那么这里 a[i] 和 a[j] 哪个相当于 v，哪个相当于 u？边应该从谁指向谁？[LEVEL:L2],,,,,,,,,,,,,,,,unlabeled
