case_id,problem_ref,topic,student_message,problem_context,recent_dialogue,student_code_excerpt,seed_gold_student_state,seed_gold_bridge_family,seed_gold_bridge_subtype,seed_gold_known_focus,seed_gold_help_seeking_type,seed_gold_missing_link,seed_gold_allowed_help_level,seed_gold_forbidden_completion,seed_needs_new_focus,coach_problem_solving_state,coach_bridge_family,coach_secondary_bridge_family,coach_bridge_subtype,coach_known_focus,coach_bridge_evidence,coach_missing_bridge_description,coach_help_seeking_type,coach_allowed_help_level,coach_help_forms,coach_forbidden_content,coach_needs_new_focus,coach_confidence,coach_notes,review_status
cp_bridge_001,P3128,tree_path_difference,我知道要 LCA，但不知道每条路径到底在哪里加减标记。,树上多条路径统计每个点经过次数。,,,strategy_application_gap,aggregation_bridge,,tree_path_difference,instrumental_help,路径贡献如何压缩到端点和 LCA 附近标记，再通过 DFS 汇总还原。,L2,"不能直接给 s+=1, t+=1, lca-=1, parent(lca)-=1 的完整公式。",false,strategy_application_gap,aggregation_bridge,,,tree_path_difference,,路径贡献如何压缩到端点和 LCA 附近标记，再通过 DFS 汇总还原。,instrumental_help,L2,,"不能直接给 s+=1, t+=1, lca-=1, parent(lca)-=1 的完整公式。",false,,,review_seed_gold
cp_bridge_002,P2678,check_condition,我知道要二分答案，但是 check(mid) 到底返回 true 还是 false 我总写反。,最大化最小跳跃距离，check(mid) 判断能否让所有跳跃距离至少为 mid。,,,strategy_application_gap,predicate_bridge,,check_condition,instrumental_help,候选答案 mid 如何被翻译成一个可行性判断。,L2,不能直接写出完整 check 条件和区间缩放方向。,false,strategy_application_gap,predicate_bridge,,,check_condition,,候选答案 mid 如何被翻译成一个可行性判断。,instrumental_help,L2,,不能直接写出完整 check 条件和区间缩放方向。,false,,,review_seed_gold
cp_bridge_003,P1048,state_design,我不知道 dp 数组每一格到底应该表示什么，只知道像背包。,给定每株药草的时间和价值，在总时间限制内最大化价值。,,,problem_representation_unclear,representation_bridge,,state_design,instrumental_help,状态格子应该表示在某个时间限制下能获得的最好价值。,L2,不能直接给完整 dp[j] 定义和转移式。,false,problem_representation_unclear,representation_bridge,,,state_design,,状态格子应该表示在某个时间限制下能获得的最好价值。,instrumental_help,L2,,不能直接给完整 dp[j] 定义和转移式。,false,,,review_seed_gold
cp_bridge_004,P1048,transition_design,我知道 dp[j] 可能和时间有关，但我不知道当前这株药到底从哪些情况转过来。,0/1 背包，每株药草只能采一次。,,,strategy_application_gap,transition_bridge,,transition_design,instrumental_help,当前决策来自采这株和不采这株两类前置情况。,L2,不能直接写出完整转移方程。,false,strategy_application_gap,transition_bridge,,,transition_design,,当前决策来自采这株和不采这株两类前置情况。,instrumental_help,L2,,不能直接写出完整转移方程。,false,,,review_seed_gold
cp_bridge_005,P3372,lazy_semantics,线段树区间加我会写一点，但 lazy 到底表示还没做什么，我说不清。,区间加和区间求和，需要线段树懒标记。,,,problem_representation_unclear,representation_bridge,,lazy_semantics,instrumental_help,lazy 标记表示这段区间已经确定要加上的信息，但还没下传给孩子。,L2,不能直接给完整 pushdown 实现。,false,problem_representation_unclear,representation_bridge,,,lazy_semantics,,lazy 标记表示这段区间已经确定要加上的信息，但还没下传给孩子。,instrumental_help,L2,,不能直接给完整 pushdown 实现。,false,,,review_seed_gold
cp_bridge_006,P2922,shared_prefix_merging,为什么用 trie 查询时不用把所有消息重新看一遍？,很多 01 消息串和拦截串，查询与前缀关系有关。,,,strategy_application_gap,aggregation_bridge,,shared_prefix_merging,instrumental_help,相同前缀先合并成路径，查询只沿当前前缀路径走。,L2,不能直接给完整 trie 计数规则和查询公式。,false,strategy_application_gap,aggregation_bridge,,,shared_prefix_merging,,相同前缀先合并成路径，查询只沿当前前缀路径走。,instrumental_help,L2,,不能直接给完整 trie 计数规则和查询公式。,false,,,review_seed_gold
cp_bridge_007,P2922,method_selection,这题是不是 trie？我感觉很多 01 串像 trie，但不确定。,输入多条 01 消息串，并反复处理前缀包含关系。,,,strategy_generation_blocked,complexity_bridge,,method_selection,executive_help,题面里的相同开头和前缀关系是支持 trie 的结构信号。,L1,不能确认或否认题型，不能说对就是 trie。,false,strategy_generation_blocked,complexity_bridge,,,method_selection,,题面里的相同开头和前缀关系是支持 trie 的结构信号。,executive_help,L1,,不能确认或否认题型，不能说对就是 trie。,false,,,review_seed_gold
cp_bridge_008,P2249,left_bound_update,二分里 a[mid] == x 的时候我为什么还要 r = mid，不是已经找到了吗？,在有序数组中找某个数第一次出现的位置。,,,strategy_application_gap,boundary_bridge,,left_bound_update,instrumental_help,命中的 mid 仍可能是答案候选，但要找最左位置还不能丢掉左侧。,L2,不能直接给完整二分模板。,false,strategy_application_gap,boundary_bridge,,,left_bound_update,,命中的 mid 仍可能是答案候选，但要找最左位置还不能丢掉左侧。,instrumental_help,L2,,不能直接给完整二分模板。,false,,,review_seed_gold
cp_bridge_009,generic,greedy_basis,我知道要先选结束早的活动，但为什么这样不会影响后面的选择？,活动选择类问题，目标是在不冲突条件下选尽量多的活动。,,,strategy_application_gap,selection_bridge,,greedy_basis,instrumental_help,局部选择结束早的活动给后续留下不更差的时间空间。,L2,不能直接给完整交换论证。,false,strategy_application_gap,selection_bridge,,,greedy_basis,,局部选择结束早的活动给后续留下不更差的时间空间。,instrumental_help,L2,,不能直接给完整交换论证。,false,,,review_seed_gold
cp_bridge_010,generic,enumeration_order,01 背包为什么容量要倒着枚举？正着枚举不是也能更新吗？,每个物品只能选一次。,,,strategy_misconception,ordering_bridge,,enumeration_order,instrumental_help,倒序更新避免当前物品在同一轮被重复使用。,L2,不能直接给完整循环模板和转移式。,false,strategy_misconception,ordering_bridge,,,enumeration_order,,倒序更新避免当前物品在同一轮被重复使用。,instrumental_help,L2,,不能直接给完整循环模板和转移式。,false,,,review_seed_gold
cp_bridge_011,generic,constraint_modeling,这些限制都是大小关系，我不知道怎么把它们变成图里的边。,多个变量之间有不等式约束，需要判断是否能同时满足。,,,problem_representation_unclear,modeling_bridge,,constraint_modeling,instrumental_help,每条限制要先改写成统一形式，再决定边的方向和权值含义。,L2,不能直接给完整建边公式。,false,problem_representation_unclear,modeling_bridge,,,constraint_modeling,,每条限制要先改写成统一形式，再决定边的方向和权值含义。,instrumental_help,L2,,不能直接给完整建边公式。,false,,,review_seed_gold
cp_bridge_012,generic,general_modeling,题目里一堆学校和道路，我不知道什么当点什么当边。,图建模问题，需要从题面对象和关系中抽象结构。,,,problem_representation_unclear,modeling_bridge,,general_modeling,instrumental_help,实体通常先作为点，实体之间的连接或约束再作为边。,L2,不能直接给完整建图方案。,false,problem_representation_unclear,modeling_bridge,,,general_modeling,,实体通常先作为点，实体之间的连接或约束再作为边。,instrumental_help,L2,,不能直接给完整建图方案。,false,,,review_seed_gold
cp_bridge_013,generic,recursion_structure,递归函数我不知道每一层到底表示什么，也不知道什么时候停。,递归或分治题，需要定义函数含义和 base case。,,,problem_representation_unclear,boundary_bridge,,recursion_structure,instrumental_help,先定义一层递归解决的子问题，再用最小情况决定停止条件。,L2,不能直接写出完整递归函数和 base case。,false,problem_representation_unclear,boundary_bridge,,,recursion_structure,,先定义一层递归解决的子问题，再用最小情况决定停止条件。,instrumental_help,L2,,不能直接写出完整递归函数和 base case。,false,,,review_seed_gold
